bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
単勝,QUARANTINED_HTML:track_condition,160,1,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,8
複勝,QUARANTINED_HTML:track_condition,110,1,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,8
複勝,QUARANTINED_HTML:track_condition,160,3,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,7
複勝,QUARANTINED_HTML:track_condition,150,2,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,4
枠連,QUARANTINED_HTML:track_condition,540,1,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,7-8
ワイド,QUARANTINED_HTML:track_condition,230,1,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,7-8
ワイド,QUARANTINED_HTML:track_condition,250,2,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,4-8
ワイド,QUARANTINED_HTML:track_condition,720,10,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,4-7
馬連,QUARANTINED_HTML:track_condition,570,1,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,7-8
馬単,QUARANTINED_HTML:track_condition,800,2,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,8-7
3連複,QUARANTINED_HTML:track_condition,1320,3,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,4-7-8
3連単,QUARANTINED_HTML:track_condition,3510,5,2026-08-01,pw01sde1001202601030620260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030620260801%2FD8,8-7-4
単勝,QUARANTINED_HTML:track_condition,140,1,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4
複勝,QUARANTINED_HTML:track_condition,110,1,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4
複勝,QUARANTINED_HTML:track_condition,410,9,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,10
複勝,QUARANTINED_HTML:track_condition,230,4,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,8
枠連,QUARANTINED_HTML:track_condition,260,1,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4-8
ワイド,QUARANTINED_HTML:track_condition,760,9,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4-10
ワイド,QUARANTINED_HTML:track_condition,410,3,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4-8
ワイド,QUARANTINED_HTML:track_condition,3020,30,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,8-10
馬連,QUARANTINED_HTML:track_condition,1790,7,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4-10
馬単,QUARANTINED_HTML:track_condition,2240,9,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4-10
3連複,QUARANTINED_HTML:track_condition,5010,19,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4-8-10
3連単,QUARANTINED_HTML:track_condition,15250,50,2026-08-01,pw01sde1001202601030820260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030820260801%2F42,4-10-8
単勝,PASS_HTML,520,3,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,7
複勝,PASS_HTML,300,3,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,7
複勝,PASS_HTML,790,6,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,5
ワイド,PASS_HTML,1460,16,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,5-7
ワイド,PASS_HTML,800,11,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,1-7
ワイド,PASS_HTML,2290,19,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,1-5
馬連,PASS_HTML,5560,16,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,5-7
馬単,PASS_HTML,8890,27,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,7-5
3連複,PASS_HTML,12110,30,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,1-5-7
3連単,PASS_HTML,59200,138,2026-08-01,pw01sde1001202601030920260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030920260801%2FF7,7-5-1
単勝,PASS_HTML,550,3,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3
複勝,PASS_HTML,260,4,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3
複勝,PASS_HTML,320,6,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,11
複勝,PASS_HTML,390,7,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,5
枠連,PASS_HTML,1530,8,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3-8
ワイド,PASS_HTML,1330,19,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3-11
ワイド,PASS_HTML,1420,20,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3-5
ワイド,PASS_HTML,1560,21,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,5-11
馬連,PASS_HTML,4400,19,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3-11
馬単,PASS_HTML,5970,31,2026-08-01,pw01sde1001202601030720260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030720260801%2F8D,3-11
