bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
ワイド,PASS_HTML,470,3,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3-5
ワイド,PASS_HTML,3440,34,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-5
馬連,PASS_HTML,4640,18,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-3
馬単,PASS_HTML,5770,22,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3-2
3連複,PASS_HTML,10750,34,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,2-3-5
3連単,PASS_HTML,51410,166,2026-08-29,pw01sde1001202602030920260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602030920260829%2FC4,3-2-5
単勝,PASS_HTML,460,2,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3
複勝,PASS_HTML,190,3,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3
複勝,PASS_HTML,120,1,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,12
複勝,PASS_HTML,1470,10,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,5
枠連,PASS_HTML,560,3,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-8
ワイド,PASS_HTML,310,1,2026-08-29,pw01sde1001202602031020260829,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202602031020260829%2FB9,3-12
